end_station_name,end_station_id,end_lat,end_lng
1 Ave & E 30 St,6079.03,40.74144387,-73.97536082
10 Ave & W 14 St,6157.04,40.741981599940225,-74.0083158
10 Ave & W 28 St,6459.04,40.75066386,-74.00176802
11 Ave & W 59 St,7059.01,40.77149671054441,-73.99046034
11 St & Washington St,HB502,40.74998490907138,-74.02715027
12 Ave & W 40 St,6765.01,40.76087502,-74.00277668
12 St & Sinatra Dr N,HB201,40.750604142368964,-74.02402014
14 St Ferry - 14 St & Shipyard Ln,HB202,40.752960630464955,-74.02435273
2 St & Park Ave,HB608,40.73915272763701,-74.03308198
4 St & Grand St,HB301,40.74225798,-74.03511107
4 St & River St,HB611,40.7408139,-74.0274062
5 Ave & E 72 St,7100.07,40.77282817,-73.96685276
5 Corners Library,JC018,40.734961020009514,-74.05950308
6 Ave & 12 St,3803.05,40.6663181,-73.9854617
6 Ave & Canal St,5500.07,40.72243797,-74.00566443
6 Ave & W 33 St,6364.07,40.74901271,-73.98848395
6 Ave & Walker St,5430.1,40.71979209,-74.00522389
6 St & Grand St,HB302,40.744397833095604,-74.03450087
7 Ave & Central Park South,6912.01,40.76674056,-73.97906899
7 Ave S & Bleecker St,5805.07,40.73213896287381,-74.00363803
7 St & Monroe St,HB304,40.74641264837719,-74.03797701
8 Ave & W 16 St,6072.11,40.740983,-74.001702
8 Ave & W 24 St,6224.06,40.74591072834279,-73.9980711
8 Ave & W 49 St,6747.07,40.76171227910671,-73.98655102
8 St & Washington St,HB603,40.745983882915624,-74.02819902
9 Ave & W 39 St,6644.08,40.756403523272496,-73.99410143
9 St HBLR - Jackson St & 8 St,HB305,40.74790720968899,-74.03841153
Adams St & 11 St,HB507,40.750915534784994,-74.03354064
Adams St & 12 St,HB610,40.751889392240685,-74.03329163
Adams St & 2 St,HB407,40.73981372311843,-74.03690413
Astor Place,JC077,40.71928220070702,-74.07126188
Avenue D & E 12 St,5575.08,40.72580614,-73.97422494
Avenue D & E 3 St,5436.09,40.72082834,-73.97793172
Baldwin at Montgomery,JC020,40.7236589,-74.0641943
Barclay St & Church St,5216.04,40.71291224,-74.01020234
Bergen Ave,JC095,40.722103786686034,-74.071455
Bergen Ave & Sip Ave,JC109,40.73100888698729,-74.064437
Bergen Ave & Stegman St,JC108,40.70657545063453,-74.08670068
Bergen St & Kingston Ave,4089.01,40.6756,-73.9415
Bleecker St & Crosby St,5679.08,40.72615604980408,-73.9951019
Bloomfield St & 15 St,HB203,40.75453,-74.02658
Broad St & Bridge St,4962.08,40.70365182,-74.01167797
Broadway & Morris St,5033.01,40.705945132708806,-74.01321888
Broadway & W 29 St,6289.06,40.7462009,-73.98855723
Broadway & W 53 St,6779.05,40.76344058,-73.98268129
Broadway & W 58 St,6948.1,40.76695317,-73.98169333
Brooklyn Bridge Park - Pier 2,4756.04,40.698458,-73.997178
Brunswick & 6th,JC081,40.72601172964625,-74.05038893
Brunswick St,JC023,40.7241765,-74.0506564
Bus Slip & State St,4889.06,40.701907,-74.013942
Carmine St & 6 Ave,5763.03,40.73038599,-74.00214988
Carroll St & Franklin Ave,3847.04,40.6679411,-73.9588
Central Park S & 6 Ave,6876.04,40.76590936,-73.97634151
Centre St & Worth St,5279.03,40.71494807,-74.00234482
Christ Hospital,JC034,40.73478582,-74.05044364
Church Sq Park - 5 St & Park Ave,HB601,40.74265933273143,-74.03223306
City Hall,JC003,40.7177325,-74.043845
City Hall - Washington St & 1 St,HB105,40.73736,-74.03097
Clinton St & 7 St,HB303,40.74542,-74.03332
Clinton St & Newark St,HB409,40.73743,-74.03571
Columbus Drive,JC014,40.71835519823214,-74.03891444
Columbus Park - Clinton St & 9 St,HB501,40.74816121065146,-74.032453
Communipaw & Berry Lane,JC084,40.71435836870427,-74.06661093
Congress St & Clinton St,4455.1,40.68825516598005,-73.99545193
Dey St,JC065,40.737711,-74.066921
Dixon Mills,JC076,40.721630142638354,-74.04996783
E 10 St & 2 Ave,5746.02,40.72970805644994,-73.98659796
E 14 St & 1 Ave,5779.1,40.73139303364151,-73.982867
E 17 St & Broadway,5980.07,40.73704984,-73.99009296
E 22 St & 2 Ave,5971.09,40.73716919369882,-73.98122549
E 41 St & Madison Ave (SE corner),6432.1,40.752049,-73.979635
E 43 St & Madison Ave,6551.11,40.75354681867074,-73.97896573
E 44 St & Lexington Ave,6464.09,40.752643,-73.974996
E 47 St & Park Ave,6584.12,40.75510267,-73.97498696
E 48 St & 3 Ave,6541.03,40.7546011,-73.97187886
E 54 St & 1 Ave,6608.09,40.756265,-73.964179
E 68 St & 3 Ave,6896.16,40.76712840349542,-73.96224618
E 74 St & 1 Ave,6953.08,40.7689738,-73.95482273
E 77 St & 1 Ave,7020.02,40.77095553869235,-73.95356208
E 84 St & Park Ave,7243.04,40.77862688,-73.95772073
E 89 St & York Ave,7204.08,40.7779453,-73.946041
E 91 St & 2 Ave,7286.01,40.781152764279156,-73.94963041
Essex Light Rail,JC038,40.7127742,-74.0364857
Exchange Pl,JC116,40.71636596185077,-74.03434396
Fairmount Ave,JC093,40.72572613742557,-74.07195926
Fulton St & Adams St,4637.06,40.692418292578466,-73.98949474
Fulton St & Broadway,5175.08,40.711066,-74.009447
Fulton St & William St,5137.11,40.70960089363537,-74.00655091
Glenwood Ave,JC094,40.72755146730012,-74.07106072
Grand Ave & Bergen St,4190.06,40.678045,-73.962408
Grand St,JC102,40.71517767732029,-74.03768331
Grand St & 14 St,HB506,40.75409,-74.0316
Grand St & Elizabeth St,5382.06,40.718822,-73.99596
Grant Ave & MLK Dr,JC107,40.70919832245443,-74.08084273
Great Jones St,5636.11,40.72743423,-73.99379025
Greenwich St & Hubert St,5470.1,40.721319,-74.010065
Greenwich St & Rector St,5073.07,40.70806582380646,-74.01355952
Grove St PATH,JC115,40.71941,-74.04309
Hamilton Park,JC009,40.72759597,-74.04424731
Harborside,JC104,40.7192517,-74.034234
Heights Elevator,JC059,40.748715945380226,-74.0404433
Hilltop,JC019,40.7311689,-74.0575736
Hoboken Ave at Monmouth St,JC105,40.73520838045357,-74.04696375
Hoboken Terminal - Hudson St & Hudson Pl,HB101,40.73593758446329,-74.03030455
Hoboken Terminal - River St & Hudson Pl,HB102,40.73606766,-74.02912706
Hudson St & 4 St,HB607,40.74097260864355,-74.02860336
Jackson Square,JC063,40.71113,-74.0789
JC Medical Center,JC110,40.71539114,-74.04969156
Jersey & 3rd,JC074,40.72333158646436,-74.04595256
Jersey & 6th St,JC027,40.72528910781132,-74.04557168
Journal Square,JC103,40.73367,-74.0625
Kenmare St & Elizabeth St,5453.06,40.72054,-73.9949
Lafayette Park,JC078,40.71346382669195,-74.06285852
Lafayette St & Jersey St,5561.06,40.72456089,-73.99565293
Lefferts Ave & Schenectady Ave,3710.07,40.66343,-73.93472
Leonard Gordon Park,JC080,40.74590996631558,-74.05727148
Liberty Light Rail,JC052,40.7112423,-74.0557013
Liberty St & Broadway,5105.01,40.70905623,-74.01043382
Lincoln Park,JC053,40.7246051,-74.07840595
Lispenard St & Broadway,5391.06,40.71939226,-74.00247214
Madison St & 1 St,HB402,40.73879,-74.0393
Madison St & 10 St,HB503,40.74994325412246,-74.03586477
Maiden Ln & Pearl St,5065.1,40.70706456,-74.00731853
Mama Johnson Field - 4 St & Jackson St,HB404,40.74313993965626,-74.04004097
Manila & 1st,JC082,40.721650724879986,-74.04288411
Marin Light Rail,JC013,40.71458403535893,-74.04281706
Marshall St & 2 St,HB408,40.740802,-74.042521
McGinley Square,JC055,40.72533993,-74.06762213
Mercer St & Bleecker St,5679.05,40.72706363348306,-73.99662137
Mercer St & Spring St,5532.01,40.72362738,-73.99949601
Monmouth and 6th,JC075,40.72568548362901,-74.04879034
Montgomery St,JC099,40.71942,-74.05099
Morris Canal,JC072,40.71241882,-74.03852552
Motorgate,6814.01,40.7639089,-73.9477213
Newark Ave,JC032,40.72152515,-74.04630454
Newport PATH,JC066,40.7272235,-74.0337589
Newport Pkwy,JC008,40.7287448,-74.0321082
Norfolk St & Broome St,5374.01,40.7172274,-73.98802084
North Moore St & Greenwich St,5470.12,40.72019521437465,-74.01030064
Oakland Ave,JC022,40.7376037,-74.0524783
Pacific St & Nevins St,4362.04,40.6853761,-73.98302136
Paulus Hook,JC002,40.7141454,-74.0335519
Pershing Field,JC024,40.74267714,-74.05178863
Pioneer St & Richards St,4128.08,40.6777748,-74.0094613
River St & 1 St,HB609,40.73721535335381,-74.02886541
River Ter & Warren St,5368.03,40.71759894980997,-74.01587963
Riverside Blvd & W 67 St,7183.03,40.777507027547976,-73.98888588
Riverview Park,JC057,40.7443187,-74.0439909
Rivington St & Chrystie St,5453.01,40.72110063,-73.9919254
S 2 St & Kent Ave,5276.04,40.714731,-73.966612
S 3 St & Bedford Ave,5235.05,40.71260486,-73.96264403
Sands St Gate,4812.04,40.699569,-73.979827
South Waterfront Walkway - Sinatra Dr & 1 St,HB103,40.73698221818716,-74.02778059
Southwest Park - Jackson St & Observer Hwy,HB401,40.73755127245804,-74.04166371
Spring St & Hudson St,5653.12,40.72583996792375,-74.0076533
Spruce St & Gold St,5137.13,40.7103231,-74.0043228
St Marks Ave & Rochester Ave,4039.04,40.67404,-73.92772
Stevens - River Ter & 6 St,HB602,40.74313282710551,-74.02698867
Thompson St & Bleecker St,5721.07,40.72840059450829,-73.99968781
Union St,JC051,40.7182113,-74.0836394
University Pl & E 14 St,5905.14,40.734814,-73.992085
Van Vorst Park,JC035,40.71848892,-74.04772663
Vesey Pl & River Terrace,5297.02,40.7153379,-74.01658354
Vesey St & Church St,5216.06,40.71221958009051,-74.0104723
W 116 St & Broadway,7713.11,40.8082,-73.9641
W 15 St & 6 Ave,5989.02,40.738046142482766,-73.99642959
W 180 St & Ft Washington Ave,8358.03,40.849972,-73.938423
W 30 St & 10 Ave,6459.07,40.752694,-74.002353
W 34 St & 11 Ave,6578.01,40.75594159,-74.0021163
W 34 St & Hudson Blvd E,6535.04,40.75516719072139,-74.00059909
W 41 St & 8 Ave,6602.03,40.75640548,-73.9900262
W 44 St & 5 Ave,6551.02,40.75500254,-73.98014437
W 51 St & 6 Ave,6740.1,40.7606597,-73.98042047
W 52 St & 5 Ave,6700.01,40.75992262,-73.97648516
W 53 St & 10 Ave,6890.01,40.76669671,-73.99061728
W 54 St & 6 Ave,6771.13,40.761865,-73.977242
W 55 St & 6 Ave,6809.09,40.763189,-73.978434
W 56 St & 8 Ave,6884.03,40.765959181657976,-73.98313522
Warren St,JC006,40.7211236,-74.03805095
Washington St,JC098,40.7242941,-74.0354826
Washington St & Barrow St,5847.08,40.73191132323174,-74.00876909
Washington St & Gansevoort St,6039.06,40.739323,-74.008119
Washington St & Laight St,5509.02,40.72231,-74.0106
Water St & Gouverneur Ln,4993.15,40.70469667894968,-74.00803417
West End Ave & W 60 St,7059.08,40.77237,-73.99005
West St & Chambers St,5329.03,40.71754834,-74.01322069
West St & Liberty St,5184.08,40.711444,-74.014847
William St & Pine St,5065.12,40.70717936,-74.00887308
Willow Ave & 12 St,HB505,40.75186748,-74.03037697
York St & Marin Blvd,JC097,40.716615000830494,-74.04241204
